tributary,date,time,constituent,conc
Little Otter Creek,2019-04-29,955,Chloride_Dissolved,18.2
Little Otter Creek,2019-05-14,845,Chloride_Dissolved,13.6
Little Otter Creek,2019-05-20,1115,Chloride_Dissolved,7.3
Little Otter Creek,2019-06-06,1030,Chloride_Dissolved,7.2
Little Otter Creek,2019-06-21,1023,Chloride_Dissolved,7.6
Little Otter Creek,2019-07-16,938,Chloride_Dissolved,15.7
Little Otter Creek,2019-08-16,946,Chloride_Dissolved,18.6
Little Otter Creek,2019-09-11,1002,Chloride_Dissolved,26.1
Little Otter Creek,2019-09-23,1028,Chloride_Dissolved,30.9
Little Otter Creek,2019-10-08,1023,Chloride_Dissolved,17.6
Little Otter Creek,2019-10-18,952,Chloride_Dissolved,10.7
Little Otter Creek,2019-10-23,1021,Chloride_Dissolved,13.5
Little Otter Creek,2019-10-28,955,Chloride_Dissolved,16.3
Little Otter Creek,2019-11-01,1008,Chloride_Dissolved,4.5
Little Otter Creek,2020-04-27,1210,Chloride_Dissolved,14
Little Otter Creek,2020-05-12,915,Chloride_Dissolved,14.4
Little Otter Creek,2020-06-19,845,Chloride_Dissolved,30.8
Little Otter Creek,2020-07-20,950,Chloride_Dissolved,29.5
Little Otter Creek,2020-08-05,840,Chloride_Dissolved,34
Little Otter Creek,2020-08-21,1010,Chloride_Dissolved,26.6
Little Otter Creek,2020-09-17,1020,Chloride_Dissolved,39.4
Little Otter Creek,2021-03-12,905,Chloride_Dissolved,18.3
Little Otter Creek,2021-03-25,1210,Chloride_Dissolved,20.6
Little Otter Creek,2021-03-27,840,Chloride_Dissolved,19.9
Little Otter Creek,2021-04-16,1205,Chloride_Dissolved,21
Little Otter Creek,2021-04-29,930,Chloride_Dissolved,22.8
Little Otter Creek,2021-04-30,1100,Chloride_Dissolved,13.6
Little Otter Creek,2021-06-15,1005,Chloride_Dissolved,24
Little Otter Creek,2021-06-22,1015,Chloride_Dissolved,22.5
Little Otter Creek,2021-07-09,825,Chloride_Dissolved,22.7
Little Otter Creek,2021-07-19,845,Chloride_Dissolved,17.4
Little Otter Creek,2021-09-09,955,Chloride_Dissolved,14.8
Little Otter Creek,2021-10-27,945,Chloride_Dissolved,21.6
Little Otter Creek,2021-11-01,930,Chloride_Dissolved,9.7
Little Otter Creek,2021-12-07,910,Chloride_Dissolved,19.1
Little Otter Creek,2022-02-23,915,Chloride_Dissolved,15.4
Little Otter Creek,2022-03-08,950,Chloride_Dissolved,18.3
Little Otter Creek,2022-03-18,1215,Chloride_Dissolved,17.9
Little Otter Creek,2022-04-01,1000,Chloride_Dissolved,20.8
Little Otter Creek,2022-04-08,855,Chloride_Dissolved,14.3
Little Otter Creek,2022-04-21,945,Chloride_Dissolved,19.2
Little Otter Creek,2022-07-05,955,Chloride_Dissolved,20
Little Otter Creek,2022-08-02,950,Chloride_Dissolved,25.5
Little Otter Creek,2022-08-26,935,Chloride_Dissolved,33.6
Little Otter Creek,2022-09-07,950,Chloride_Dissolved,33
Little Otter Creek,2022-09-14,940,Chloride_Dissolved,29.9
Little Otter Creek,2022-09-20,1020,Chloride_Dissolved,18.6
Little Otter Creek,2022-09-23,1010,Chloride_Dissolved,20.8
Little Otter Creek,2022-10-14,1000,Chloride_Dissolved,26.7
Little Otter Creek,2022-12-08,955,Chloride_Dissolved,17.9
Little Otter Creek,2023-02-10,1635,Chloride_Dissolved,18.6
Little Otter Creek,2023-03-24,1300,Chloride_Dissolved,19
Little Otter Creek,2023-04-06,1205,Chloride_Dissolved,15.4
Little Otter Creek,2023-04-18,1415,Chloride_Dissolved,15.8
Little Otter Creek,2023-06-19,1125,Chloride_Dissolved,24.4
Little Otter Creek,2023-06-30,1005,Chloride_Dissolved,21.2
Little Otter Creek,2023-07-11,1000,Chloride_Dissolved,15.4
Little Otter Creek,2023-07-17,1020,Chloride_Dissolved,10.9
Little Otter Creek,2023-08-08,955,Chloride_Dissolved,16.2
Little Otter Creek,2023-08-24,930,Chloride_Dissolved,13.7
Little Otter Creek,2023-08-31,1210,Chloride_Dissolved,13.4
Little Otter Creek,2023-09-13,1330,Chloride_Dissolved,19
Little Otter Creek,2023-10-06,915,Chloride_Dissolved,25.7
Little Otter Creek,2023-10-23,950,Chloride_Dissolved,11.9
Little Otter Creek,2023-12-18,1040,Chloride_Dissolved,8.6
