OBJECTID,tributary,ZONE_CODE,VALUE,Count,Area
1,Missisquoi River,1,0,2451083,2205974700
2,Missisquoi River,1,1,32208,28987200
3,Otter Creek,2,0,2524937,2272443300
4,Otter Creek,2,1,4216,3794400
5,Little Otter Creek,3,0,172115,154903500
6,Little Otter Creek,3,1,697,627300
7,Lewis Creek,4,0,230240,207216000
8,Lewis Creek,4,1,195,175500
9,Laplatte River,5,0,152069,136862100
10,Laplatte River,5,1,482,433800
11,Jewett Brook,6,0,49915,44923500
12,Jewett Brook,6,1,16929,15236100
13,Mill River,7,0,63362,57025800
14,Mill River,7,1,2968,2671200
15,Lamoille River,8,0,2074840,1867356000
16,Lamoille River,8,1,8261,7434900
17,Winooski River,9,0,3056759,2751083100
18,Winooski River,9,1,5674,5106600
19,Great Chazy River,10,0,848331,763497900
20,Great Chazy River,10,1,26221,23598900
21,Little Chazy River,11,0,143913,129521700
22,Little Chazy River,11,1,11925,10732500
23,Saranac River,12,0,1763538,1587184200
24,Saranac River,12,1,1271,1143900
25,Salmon River,13,0,193386,174047400
26,Salmon River,13,1,1227,1104300
27,Little Ausable River,14,0,207904,187113600
28,Little Ausable River,14,1,6488,5839200
29,Ausable River,15,0,1469974,1322976600
30,Ausable River,15,1,4457,4011300
31,Bouquet River,16,0,786918,708226200
32,Bouquet River,16,1,2294,2064600
33,Putnam Creek,17,0,177720,159948000
34,Putnam Creek,17,1,160,144000
35,Mettawee River,18,0,1210793,1089713700
36,Mettawee River,18,1,8395,7555500
37,Poultney River,19,0,752304,677073600
38,Poultney River,19,1,947,852300
